,coils EUR/ton
21/04/2019,699.0
22/04/2019,699.0
23/04/2019,699.0
24/04/2019,699.0
25/04/2019,699.0
26/04/2019,699.0
27/04/2019,699.0
28/04/2019,699.0
29/04/2019,699.0
30/04/2019,699.0
31/04/2019,699.0
01/05/2019,685.0
02/05/2019,685.0
03/05/2019,685.0
04/05/2019,685.0
05/05/2019,685.0
06/05/2019,685.0
07/05/2019,685.0
08/05/2019,685.0
09/05/2019,685.0
10/05/2019,685.0
11/05/2019,685.0
12/05/2019,685.0
13/05/2019,685.0
14/05/2019,685.0
15/05/2019,685.0
16/05/2019,685.0
17/05/2019,685.0
18/05/2019,685.0
19/05/2019,685.0
20/05/2019,685.0
21/05/2019,685.0
22/05/2019,685.0
23/05/2019,685.0
24/05/2019,685.0
25/05/2019,685.0
26/05/2019,685.0
27/05/2019,685.0
28/05/2019,685.0
29/05/2019,685.0
30/05/2019,685.0
31/05/2019,685.0
01/06/2019,679.0
02/06/2019,679.0
03/06/2019,679.0
04/06/2019,679.0
05/06/2019,679.0
06/06/2019,679.0
07/06/2019,679.0
08/06/2019,679.0
09/06/2019,679.0
10/06/2019,679.0
11/06/2019,679.0
12/06/2019,679.0
13/06/2019,679.0
14/06/2019,679.0
15/06/2019,679.0
16/06/2019,679.0
17/06/2019,679.0
18/06/2019,679.0
19/06/2019,679.0
20/06/2019,679.0
21/06/2019,679.0
22/06/2019,679.0
23/06/2019,679.0
24/06/2019,679.0
25/06/2019,679.0
26/06/2019,679.0
27/06/2019,679.0
28/06/2019,679.0
29/06/2019,679.0
30/06/2019,679.0
31/06/2019,679.0
01/07/2019,677.0
02/07/2019,677.0
03/07/2019,677.0
04/07/2019,677.0
05/07/2019,677.0
06/07/2019,677.0
07/07/2019,677.0
08/07/2019,677.0
09/07/2019,677.0
10/07/2019,677.0
11/07/2019,677.0
12/07/2019,677.0
13/07/2019,677.0
14/07/2019,677.0
15/07/2019,677.0
16/07/2019,677.0
17/07/2019,677.0
18/07/2019,677.0
19/07/2019,677.0
20/07/2019,677.0
21/07/2019,677.0
22/07/2019,677.0
23/07/2019,677.0
24/07/2019,677.0
25/07/2019,677.0
26/07/2019,677.0
27/07/2019,677.0
28/07/2019,677.0
29/07/2019,677.0
30/07/2019,677.0
31/07/2019,677.0
01/08/2019,667.0
02/08/2019,667.0
03/08/2019,667.0
04/08/2019,667.0
05/08/2019,667.0
06/08/2019,667.0
07/08/2019,667.0
08/08/2019,667.0
09/08/2019,667.0
10/08/2019,667.0
11/08/2019,667.0
12/08/2019,667.0
13/08/2019,667.0
14/08/2019,667.0
15/08/2019,667.0
16/08/2019,667.0
17/08/2019,667.0
18/08/2019,667.0
19/08/2019,667.0
20/08/2019,667.0
21/08/2019,667.0
22/08/2019,667.0
23/08/2019,667.0
24/08/2019,667.0
25/08/2019,667.0
26/08/2019,667.0
27/08/2019,667.0
28/08/2019,667.0
29/08/2019,667.0
30/08/2019,667.0
31/08/2019,667.0
01/09/2019,666.0
02/09/2019,666.0
03/09/2019,666.0
04/09/2019,666.0
05/09/2019,666.0
06/09/2019,666.0
07/09/2019,666.0
08/09/2019,666.0
09/09/2019,666.0
10/09/2019,666.0
11/09/2019,666.0
12/09/2019,666.0
13/09/2019,666.0
14/09/2019,666.0
15/09/2019,666.0
16/09/2019,666.0
17/09/2019,666.0
18/09/2019,666.0
19/09/2019,666.0
20/09/2019,666.0
21/09/2019,666.0
22/09/2019,666.0
23/09/2019,666.0
24/09/2019,666.0
25/09/2019,666.0
26/09/2019,666.0
27/09/2019,666.0
28/09/2019,666.0
29/09/2019,666.0
30/09/2019,666.0
31/09/2019,666.0
01/10/2019,653.0
02/10/2019,653.0
03/10/2019,653.0
04/10/2019,653.0
05/10/2019,653.0
06/10/2019,653.0
07/10/2019,653.0
08/10/2019,653.0
09/10/2019,653.0
10/10/2019,653.0
11/10/2019,653.0
12/10/2019,653.0
13/10/2019,653.0
14/10/2019,653.0
15/10/2019,653.0
16/10/2019,653.0
17/10/2019,653.0
18/10/2019,653.0
19/10/2019,653.0
20/10/2019,653.0
21/10/2019,653.0
22/10/2019,653.0
23/10/2019,653.0
24/10/2019,653.0
25/10/2019,653.0
26/10/2019,653.0
27/10/2019,653.0
28/10/2019,653.0
29/10/2019,653.0
30/10/2019,653.0
31/10/2019,653.0
01/11/2019,635.0
02/11/2019,635.0
03/11/2019,635.0
04/11/2019,635.0
05/11/2019,635.0
06/11/2019,635.0
07/11/2019,635.0
08/11/2019,635.0
09/11/2019,635.0
10/11/2019,635.0
11/11/2019,635.0
12/11/2019,635.0
13/11/2019,635.0
14/11/2019,635.0
15/11/2019,635.0
16/11/2019,635.0
17/11/2019,635.0
18/11/2019,635.0
19/11/2019,635.0
20/11/2019,635.0
21/11/2019,635.0
22/11/2019,635.0
23/11/2019,635.0
24/11/2019,635.0
25/11/2019,635.0
26/11/2019,635.0
27/11/2019,635.0
28/11/2019,635.0
29/11/2019,635.0
30/11/2019,635.0
31/11/2019,635.0
01/12/2019,637.0
02/12/2019,637.0
03/12/2019,637.0
04/12/2019,637.0
05/12/2019,637.0
06/12/2019,637.0
07/12/2019,637.0
08/12/2019,637.0
09/12/2019,637.0
10/12/2019,637.0
11/12/2019,637.0
12/12/2019,637.0
13/12/2019,637.0
14/12/2019,637.0
15/12/2019,637.0
16/12/2019,637.0
17/12/2019,637.0
18/12/2019,637.0
19/12/2019,637.0
20/12/2019,637.0
21/12/2019,637.0
22/12/2019,637.0
23/12/2019,637.0
24/12/2019,637.0
25/12/2019,637.0
26/12/2019,637.0
27/12/2019,637.0
28/12/2019,637.0
29/12/2019,637.0
30/12/2019,637.0
31/12/2019,637.0
01/01/2020,655.0
02/01/2020,655.0
03/01/2020,655.0
04/01/2020,655.0
05/01/2020,655.0
06/01/2020,655.0
07/01/2020,655.0
08/01/2020,655.0
09/01/2020,655.0
10/01/2020,655.0
11/01/2020,655.0
12/01/2020,655.0
13/01/2020,655.0
14/01/2020,655.0
15/01/2020,655.0
16/01/2020,655.0
17/01/2020,655.0
18/01/2020,655.0
19/01/2020,655.0
20/01/2020,655.0
21/01/2020,655.0
22/01/2020,655.0
23/01/2020,655.0
24/01/2020,655.0
25/01/2020,655.0
26/01/2020,655.0
27/01/2020,655.0
28/01/2020,655.0
29/01/2020,655.0
30/01/2020,655.0
31/01/2020,655.0
01/02/2020,673.0
02/02/2020,673.0
03/02/2020,673.0
04/02/2020,673.0
05/02/2020,673.0
06/02/2020,673.0
07/02/2020,673.0
08/02/2020,673.0
09/02/2020,673.0
10/02/2020,673.0
11/02/2020,673.0
12/02/2020,673.0
13/02/2020,673.0
14/02/2020,673.0
15/02/2020,673.0
16/02/2020,673.0
17/02/2020,673.0
18/02/2020,673.0
19/02/2020,673.0
20/02/2020,673.0
21/02/2020,673.0
22/02/2020,673.0
23/02/2020,673.0
24/02/2020,673.0
25/02/2020,673.0
26/02/2020,673.0
