,variable,Date,value
409,coils EUR/ton,2017-02-28,722.25
410,coils EUR/ton,2017-03-31,709.67
411,coils EUR/ton,2017-04-30,715.8
412,coils EUR/ton,2017-05-31,722.0
413,coils EUR/ton,2017-06-30,730.78
414,coils EUR/ton,2017-07-31,705.82
415,coils EUR/ton,2017-08-31,703.5
416,coils EUR/ton,2017-09-30,723.5
417,coils EUR/ton,2017-10-31,724.17
418,coils EUR/ton,2017-11-30,723.71
419,coils EUR/ton,2017-12-31,724.77
420,coils EUR/ton,2018-01-31,746.25
421,coils EUR/ton,2018-02-28,760.4
422,coils EUR/ton,2018-03-31,763.62
423,coils EUR/ton,2018-04-30,773.29
424,coils EUR/ton,2018-05-31,767.56
425,coils EUR/ton,2018-06-30,760.06
426,coils EUR/ton,2018-07-31,761.85
427,coils EUR/ton,2018-08-31,760.25
428,coils EUR/ton,2018-09-30,769.53
429,coils EUR/ton,2018-10-31,759.94
430,coils EUR/ton,2018-11-30,750.22
431,coils EUR/ton,2018-12-31,745.36
432,coils EUR/ton,2019-01-31,700.81
433,coils EUR/ton,2019-02-28,688.76
434,coils EUR/ton,2019-03-31,690.18
435,coils EUR/ton,2019-04-30,689.14
436,coils EUR/ton,2019-05-31,678.78
437,coils EUR/ton,2019-06-30,677.93
438,coils EUR/ton,2019-07-31,676.25
439,coils EUR/ton,2019-08-31,672.69
440,coils EUR/ton,2019-09-30,670.47
441,coils EUR/ton,2019-10-31,661.44
442,coils EUR/ton,2019-11-30,650.76
443,coils EUR/ton,2019-12-31,653.0
444,coils EUR/ton,2020-01-31,662.18
445,coils EUR/ton,2020-02-29,674.71
446,coils EUR/ton,2020-03-31,673.88
447,coils EUR/ton,2020-04-30,676.6
448,coils EUR/ton,2020-05-31,665.27
449,coils EUR/ton,2020-06-30,639.35
450,coils EUR/ton,2020-07-31,637.94
451,coils EUR/ton,2020-08-31,645.2
452,coils EUR/ton,2020-09-30,667.24
453,coils EUR/ton,2020-10-31,687.62
454,coils EUR/ton,2020-11-30,693.07
455,coils EUR/ton,2020-12-31,735.47
456,coils EUR/ton,2021-01-31,980.86
457,coils EUR/ton,2021-02-28,982.92
458,coils EUR/ton,2021-03-31,985.31
459,coils EUR/ton,2021-04-30,1112.94
460,coils EUR/ton,2021-05-31,1242.09
461,coils EUR/ton,2021-06-30,1197.33
462,coils EUR/ton,2021-07-31,1310.1
463,coils EUR/ton,2021-08-31,1313.64
464,coils EUR/ton,2021-09-30,1334.5
465,coils EUR/ton,2021-10-31,1263.54
466,coils EUR/ton,2021-11-30,1193.53
467,coils EUR/ton,2021-12-31,1179.36
468,coils EUR/ton,2022-01-31,1191.91
469,coils EUR/ton,2022-02-28,1194.36
470,coils EUR/ton,2022-03-31,1392.5
471,coils EUR/ton,2022-04-30,1556.55
472,coils EUR/ton,2022-05-31,1420.77
473,coils EUR/ton,2022-06-30,1304.45
474,coils EUR/ton,2022-07-31,1357.33
475,coils EUR/ton,2022-08-31,1229.0
476,coils EUR/ton,2022-09-30,1323.0
477,coils EUR/ton,2022-10-31,1250.33
478,coils EUR/ton,2022-11-30,1520.0
479,coils EUR/ton,2022-12-31,1520.0
480,copper,2015-01-31,5740.46
481,copper,2015-02-28,5390.39
482,copper,2015-03-31,5717.85
483,copper,2015-04-30,5921.45
484,copper,2015-05-31,6017.05
485,copper,2015-06-30,5646.6
486,copper,2015-07-31,5475.15
487,copper,2015-08-31,5245.53
488,copper,2015-09-30,5287.95
489,copper,2015-10-31,5288.62
490,copper,2015-11-30,4987.77
491,copper,2015-12-31,5075.0
492,copper,2016-01-31,4620.45
493,copper,2016-02-29,4710.51
494,copper,2016-03-31,4897.24
