,Date,variable,value
413,29/03/2016,aluminium (EUR),1463.16
414,24/03/2016,aluminium (EUR),
415,23/03/2016,aluminium (EUR),1472.95
416,22/03/2016,aluminium (EUR),1472.95
417,21/03/2016,aluminium (EUR),1459.6
418,18/03/2016,aluminium (EUR),1456.04
419,17/03/2016,aluminium (EUR),1439.24
420,15/03/2016,aluminium (EUR),1471.95
421,14/03/2016,aluminium (EUR),1480.95
422,11/03/2016,aluminium (EUR),1481.8500000000001
423,10/03/2016,aluminium (EUR),1456.4850000000001
424,09/03/2016,aluminium (EUR),1498.315
425,08/03/2016,aluminium (EUR),1498.315
426,07/03/2016,aluminium (EUR),1507.415
427,04/03/2016,aluminium (EUR),1494.675
428,03/03/2016,aluminium (EUR),1494.675
429,02/03/2016,aluminium (EUR),1474.76
430,01/03/2016,aluminium (EUR),1460.96
431,29/02/2016,aluminium (EUR),1504.2
432,26/02/2016,aluminium (EUR),1488.76
433,25/02/2016,aluminium (EUR),1484.21
434,24/02/2016,aluminium (EUR),1484.665
435,23/02/2016,aluminium (EUR),1489.2150000000001
436,22/02/2016,aluminium (EUR),1493.765
437,19/02/2016,aluminium (EUR),1478.25
438,18/02/2016,aluminium (EUR),
439,17/02/2016,aluminium (EUR),1478.4750000000001
440,16/02/2016,aluminium (EUR),1478.7
441,15/02/2016,aluminium (EUR),1478.7
442,12/02/2016,aluminium (EUR),1494.31
443,11/02/2016,aluminium (EUR),1451.34
444,09/02/2016,aluminium (EUR),1468.055
445,08/02/2016,aluminium (EUR),1468.055
446,05/02/2016,aluminium (EUR),1467.45
447,04/02/2016,aluminium (EUR),1451.59
448,03/02/2016,aluminium (EUR),1458.9
449,02/02/2016,aluminium (EUR),1500.52
450,01/02/2016,aluminium (EUR),1518.92
451,29/01/2016,aluminium (EUR),1479.8200000000002
452,28/01/2016,aluminium (EUR),1518.335
453,27/01/2016,aluminium (EUR),1516.6200000000001
454,26/01/2016,aluminium (EUR),1470.6200000000001
455,25/01/2016,aluminium (EUR),1484.42
456,22/01/2016,aluminium (EUR),1505.67
457,21/01/2016,aluminium (EUR),1489.48
458,20/01/2016,aluminium (EUR),1498.68
459,19/01/2016,aluminium (EUR),1498.91
460,18/01/2016,aluminium (EUR),1499.14
461,15/01/2016,aluminium (EUR),1509.03
462,14/01/2016,aluminium (EUR),
463,13/01/2016,aluminium (EUR),1532.49
464,12/01/2016,aluminium (EUR),1532.72
465,11/01/2016,aluminium (EUR),1532.95
466,08/01/2016,aluminium (EUR),1533.64
467,07/01/2016,aluminium (EUR),1533.64
468,05/01/2016,aluminium (EUR),1564.26
469,04/01/2016,aluminium (EUR),
470,28/12/2017,aluminium (EUR),1582.56
471,27/12/2017,aluminium (EUR),1565.76
472,21/12/2017,aluminium (EUR),1558.2
473,20/12/2017,aluminium (EUR),1549.8
474,19/12/2017,aluminium (EUR),1528.8
475,18/12/2017,aluminium (EUR),1538.5
476,14/12/2017,aluminium (EUR),1538.925
477,13/12/2017,aluminium (EUR),1539.1375
478,12/12/2017,aluminium (EUR),1539.35
479,11/12/2017,aluminium (EUR),1539.35
480,07/12/2017,aluminium (EUR),1544.45
481,06/12/2017,aluminium (EUR),1544.45
482,05/12/2017,aluminium (EUR),1545.3
483,04/12/2017,aluminium (EUR),1531.32
484,30/11/2017,aluminium (EUR),1595.1599999999999
485,29/11/2017,aluminium (EUR),1583.3999999999999
486,28/11/2017,aluminium (EUR),1583.3999999999999
487,27/11/2017,aluminium (EUR),1583.3999999999999
488,23/11/2017,aluminium (EUR),
489,22/11/2017,aluminium (EUR),1576.75
490,21/11/2017,aluminium (EUR),1581.0
491,20/11/2017,aluminium (EUR),1581.2124999999999
492,16/11/2017,aluminium (EUR),1586.3125
493,15/11/2017,aluminium (EUR),1586.5249999999999
494,13/11/2017,aluminium (EUR),1605.62
495,09/11/2017,aluminium (EUR),1610.78
496,08/11/2017,aluminium (EUR),1610.78
497,07/11/2017,aluminium (EUR),1610.78
498,06/11/2017,aluminium (EUR),1610.78
499,02/11/2017,aluminium (EUR),1606.91
500,01/11/2017,aluminium (EUR),1611.21
501,31/10/2017,aluminium (EUR),1611.6399999999999
502,30/10/2017,aluminium (EUR),1667.54
503,26/10/2017,aluminium (EUR),1586.27
504,25/10/2017,aluminium (EUR),1567.825
505,24/10/2017,aluminium (EUR),1567.825
506,23/10/2017,aluminium (EUR),1567.825
507,19/10/2017,aluminium (EUR),
508,18/10/2017,aluminium (EUR),1568.25
509,17/10/2017,aluminium (EUR),1568.25
510,16/10/2017,aluminium (EUR),1572.5
511,12/10/2017,aluminium (EUR),1577.6
512,11/10/2017,aluminium (EUR),1559.04
513,10/10/2017,aluminium (EUR),1569.1
514,09/10/2017,aluminium (EUR),1573.35
515,05/10/2017,aluminium (EUR),1573.9875
516,04/10/2017,aluminium (EUR),1557.2
517,03/10/2017,aluminium (EUR),1527.45
518,28/09/2017,aluminium (EUR),1528.725
519,27/09/2017,aluminium (EUR),1529.1499999999999
520,26/09/2017,aluminium (EUR),1529.1499999999999
521,25/09/2017,aluminium (EUR),1511.1599999999999
522,21/09/2017,aluminium (EUR),1507.8
523,20/09/2017,aluminium (EUR),1495.2
524,19/09/2017,aluminium (EUR),1477.3999999999999
525,18/09/2017,aluminium (EUR),1495.4099999999999
526,14/09/2017,aluminium (EUR),
527,13/09/2017,aluminium (EUR),1475.04
528,12/09/2017,aluminium (EUR),1483.23
529,11/09/2017,aluminium (EUR),1479.03
530,07/09/2017,aluminium (EUR),1490.6799999999998
531,06/09/2017,aluminium (EUR),1529.85
532,05/09/2017,aluminium (EUR),1508.85
533,04/09/2017,aluminium (EUR),1542.45
534,31/08/2017,aluminium (EUR),1534.47
535,30/08/2017,aluminium (EUR),1517.6699999999998
536,29/08/2017,aluminium (EUR),1517.6699999999998
537,24/08/2017,aluminium (EUR),1536.1625
538,23/08/2017,aluminium (EUR),1523.4125
539,22/08/2017,aluminium (EUR),1523.625
540,21/08/2017,aluminium (EUR),1523.625
541,17/08/2017,aluminium (EUR),1524.05
542,15/08/2017,aluminium (EUR),1468.8
543,14/08/2017,aluminium (EUR),1469.0125
544,11/08/2017,aluminium (EUR),1469.6499999999999
545,10/08/2017,aluminium (EUR),
546,09/08/2017,aluminium (EUR),1469.6499999999999
547,08/08/2017,aluminium (EUR),1469.6499999999999
548,07/08/2017,aluminium (EUR),1444.1499999999999
549,04/08/2017,aluminium (EUR),1444.575
550,03/08/2017,aluminium (EUR),1406.58
551,02/08/2017,aluminium (EUR),1381.3799999999999
552,01/08/2017,aluminium (EUR),1397.825
553,31/07/2017,aluminium (EUR),1381.4471999999998
554,28/07/2017,aluminium (EUR),1398.25
555,27/07/2017,aluminium (EUR),1414.7
556,26/07/2017,aluminium (EUR),1398.25
557,25/07/2017,aluminium (EUR),1406.53
558,24/07/2017,aluminium (EUR),1406.53
559,21/07/2017,aluminium (EUR),1406.96
560,20/07/2017,aluminium (EUR),1406.96
561,19/07/2017,aluminium (EUR),1427.67
562,18/07/2017,aluminium (EUR),1427.67
563,17/07/2017,aluminium (EUR),1432.02
564,14/07/2017,aluminium (EUR),1445.5049999999999
565,13/07/2017,aluminium (EUR),1462.1200000000001
566,11/07/2017,aluminium (EUR),1437.0225
567,10/07/2017,aluminium (EUR),1458.16
568,07/07/2017,aluminium (EUR),1458.6
569,06/07/2017,aluminium (EUR),
570,05/07/2017,aluminium (EUR),1467.4
571,04/07/2017,aluminium (EUR),1467.4
572,03/07/2017,aluminium (EUR),1454.2
573,30/06/2017,aluminium (EUR),1445.84
574,29/06/2017,aluminium (EUR),1429.41
575,28/06/2017,aluminium (EUR),1441.44
576,27/06/2017,aluminium (EUR),1428.46
577,26/06/2017,aluminium (EUR),1431.565
578,23/06/2017,aluminium (EUR),1436.46
579,22/06/2017,aluminium (EUR),1452.6000000000001
580,21/06/2017,aluminium (EUR),1452.6000000000001
581,20/06/2017,aluminium (EUR),1457.1000000000001
582,19/06/2017,aluminium (EUR),1461.6000000000001
583,16/06/2017,aluminium (EUR),1436.905
584,15/06/2017,aluminium (EUR),1453.05
585,14/06/2017,aluminium (EUR),1450.255
586,13/06/2017,aluminium (EUR),1445.805
587,12/06/2017,aluminium (EUR),1454.705
588,09/06/2017,aluminium (EUR),1464.05
589,08/06/2017,aluminium (EUR),1468.5
590,06/06/2017,aluminium (EUR),1477.845
591,05/06/2017,aluminium (EUR),1477.845
